"scenario","year","trials","biomass","species"
"Status quo",2100,"./mc_output_trial0001",0.4062815,"Negaprion brevirostris"
"RCP 2.6",2100,"./mc_output_trial0001",0.2578652,"Negaprion brevirostris"
"RCP 4.5",2100,"./mc_output_trial0001",0.1872859,"Negaprion brevirostris"
"RCP 8.5",2100,"./mc_output_trial0001",2.576978e-05,"Negaprion brevirostris"
"Status quo",2100,"./mc_output_trial0001",4.046297,"Ginglymostoma cirratum"
"RCP 2.6",2100,"./mc_output_trial0001",2.200085,"Ginglymostoma cirratum"
"RCP 4.5",2100,"./mc_output_trial0001",1.54285,"Ginglymostoma cirratum"
"RCP 8.5",2100,"./mc_output_trial0001",0.1750752,"Ginglymostoma cirratum"
"Status quo",2100,"./mc_output_trial0001",1.86031,"Lutjanus jocu"
"RCP 2.6",2100,"./mc_output_trial0001",1.696264,"Lutjanus jocu"
"RCP 4.5",2100,"./mc_output_trial0001",1.189234,"Lutjanus jocu"
"RCP 8.5",2100,"./mc_output_trial0001",4.868888e-06,"Lutjanus jocu"
"Status quo",2100,"./mc_output_trial0001",0.3926835,"Cephalopholis fulva"
"RCP 2.6",2100,"./mc_output_trial0001",0.4197935,"Cephalopholis fulva"
"RCP 4.5",2100,"./mc_output_trial0001",0.3040234,"Cephalopholis fulva"
"RCP 8.5",2100,"./mc_output_trial0001",0.0003598379,"Cephalopholis fulva"
"Status quo",2100,"./mc_output_trial0001",3.134979,"Carangidae"
"RCP 2.6",2100,"./mc_output_trial0001",3.04301,"Carangidae"
"RCP 4.5",2100,"./mc_output_trial0001",3.056951,"Carangidae"
"RCP 8.5",2100,"./mc_output_trial0001",0.08941653,"Carangidae"
"Status quo",2100,"./mc_output_trial0001",8.666032,"Acanthurus spp."
"RCP 2.6",2100,"./mc_output_trial0001",7.308721,"Acanthurus spp."
"RCP 4.5",2100,"./mc_output_trial0001",8.659511,"Acanthurus spp."
"RCP 8.5",2100,"./mc_output_trial0001",0.6064073,"Acanthurus spp."
"Status quo",2100,"./mc_output_trial0001",0.4191969,"Stegastes rocasensis"
"RCP 2.6",2100,"./mc_output_trial0001",0.4976903,"Stegastes rocasensis"
"RCP 4.5",2100,"./mc_output_trial0001",0.3880509,"Stegastes rocasensis"
"RCP 8.5",2100,"./mc_output_trial0001",0.01187155,"Stegastes rocasensis"
"Status quo",2100,"./mc_output_trial0001",0.1098124,"Thalassoma noronhanum"
"RCP 2.6",2100,"./mc_output_trial0001",0.05835395,"Thalassoma noronhanum"
"RCP 4.5",2100,"./mc_output_trial0001",0.0321885,"Thalassoma noronhanum"
"RCP 8.5",2100,"./mc_output_trial0001",3.387195e-06,"Thalassoma noronhanum"
"Status quo",2100,"./mc_output_trial0001",0.9307441,"Abudefduf saxatilis"
"RCP 2.6",2100,"./mc_output_trial0001",0.925513,"Abudefduf saxatilis"
"RCP 4.5",2100,"./mc_output_trial0001",0.8459385,"Abudefduf saxatilis"
"RCP 8.5",2100,"./mc_output_trial0001",0.4250368,"Abudefduf saxatilis"
"Status quo",2100,"./mc_output_trial0001",1.355533,"Sparisoma spp."
"RCP 2.6",2100,"./mc_output_trial0001",1.210907,"Sparisoma spp."
"RCP 4.5",2100,"./mc_output_trial0001",0.9583945,"Sparisoma spp."
"RCP 8.5",2100,"./mc_output_trial0001",0.001536634,"Sparisoma spp."
"Status quo",2100,"./mc_output_trial0001",0.6085562,"Melichthys niger"
"RCP 2.6",2100,"./mc_output_trial0001",0.5882801,"Melichthys niger"
"RCP 4.5",2100,"./mc_output_trial0001",0.3812559,"Melichthys niger"
"RCP 8.5",2100,"./mc_output_trial0001",0.01204419,"Melichthys niger"
"Status quo",2100,"./mc_output_trial0001",0.4746748,"Kyphosus spp."
"RCP 2.6",2100,"./mc_output_trial0001",0.4442603,"Kyphosus spp."
"RCP 4.5",2100,"./mc_output_trial0001",0.2690556,"Kyphosus spp."
"RCP 8.5",2100,"./mc_output_trial0001",2.855117e-05,"Kyphosus spp."
"Status quo",2100,"./mc_output_trial0001",1.420467,"Mulloidichthys martinicus"
"RCP 2.6",2100,"./mc_output_trial0001",1.18143,"Mulloidichthys martinicus"
"RCP 4.5",2100,"./mc_output_trial0001",1.116575,"Mulloidichthys martinicus"
